game_id,visit,inning,bat_team,outs,batter_id,runner_1b,runner_2b,runner_3b,event,col_7,col_8,team_iter,year,base_state,tagup_success,tagup_runs,re0,next_inning,next_bat_team,next_outs,next_base_state,re1,delta_run_exp,teamname,chosen_runner_strategy,adv_result
MIA202309230,MIL,4,1,1,fortn001,,sancj003,delab001,8/SF/L89D.3-H;2-3,,,MIA,2023,011,True,1,0.59,4.0,1.0,2.0,001,1.369,0.779,MIA,"[3, 2]","[1, 1]"
MIA202309240,MIL,6,0,1,adamw002,canhm001,santc002,,8/F8D.2-3,,,MIA,2023,110,False,0,0.443,6.0,0.0,2.0,101,0.498,0.05499999999999999,MIL,[2],[1]
MIL202304050,NYN,3,1,1,andeb006,voitl001,contw002,,9/F89,,,MIL,2023,110,False,0,0.443,3.0,1.0,2.0,110,0.443,0.0,MIL,[],[]
MIL202304070,SLN,3,1,1,tellr001,adamw002,,yelic001,7/SF/F78XD.3-H,,,MIL,2023,101,True,1,0.498,3.0,1.0,2.0,100,1.227,0.7290000000000001,MIL,[3],[1]
MIL202304080,SLN,1,0,0,goldp001,carld002,edmat001,,9/F9D.2-3,,,MIL,2023,110,False,0,0.923,1.0,0.0,1.0,101,1.591,0.6679999999999999,SLN,[2],[1]
MIL202304080,SLN,1,0,1,arenn001,carld002,,edmat001,8/SF/F8D.3-H;1-2,,,MIL,2023,101,True,1,0.498,1.0,0.0,2.0,010,1.327,0.829,SLN,"[3, 1]","[1, 1]"
MIL202304090,SLN,3,1,1,winkj002,yelic001,wiemj001,,9/F89D.2-3,,,MIL,2023,110,False,0,0.443,3.0,1.0,2.0,101,0.498,0.05499999999999999,MIL,[2],[1]
MIL202304230,BOS,1,0,1,yoshm002,turnj001,,verda001,9/SF/F9.3-H(UR),,,MIL,2023,101,True,1,0.498,1.0,0.0,2.0,100,1.227,0.7290000000000001,BOS,[3],[1]
MIL202304230,BOS,5,1,1,adamw002,winkj002,,yelic001,8/SF/F89D.3-H,,,MIL,2023,101,True,1,0.498,5.0,1.0,2.0,100,1.227,0.7290000000000001,MIL,[3],[1]
MIL202304230,BOS,8,0,1,verda001,,chany001,wongc001,8/F89S,,,MIL,2023,011,False,0,0.59,8.0,0.0,2.0,011,0.59,0.0,BOS,[],[]
MIL202304230,BOS,9,0,1,chany001,duraj001,casat001,,9/F9D.2-3,,,MIL,2023,110,False,0,0.443,9.0,0.0,2.0,101,0.498,0.05499999999999999,BOS,[2],[1]
MIL202304250,DET,3,0,0,rogej004,schoj001,cabrm001,,8/L8XD+,,,MIL,2023,110,False,0,0.923,3.0,0.0,1.0,110,0.923,0.0,DET,[],[]
MIL202304280,ANA,8,0,1,renda001,ohtas001,,wardt002,8/F89S,,,MIL,2023,101,False,0,0.498,8.0,0.0,2.0,101,0.498,0.0,ANA,[],[]
MIL202304290,ANA,5,0,1,troum001,netoz001,,urshg001,7/SF/L78XD.3-H,,,MIL,2023,101,True,1,0.498,5.0,0.0,2.0,100,1.227,0.7290000000000001,ANA,[3],[1]
MIL202305080,LAN,7,1,0,taylt002,turab002,andeb006,,7/F78D,,,MIL,2023,110,False,0,0.923,7.0,1.0,1.0,110,0.923,0.0,MIL,[],[]
MIL202305090,LAN,1,1,0,adamw002,winkj002,yelic001,,7/F7D,,,MIL,2023,110,False,0,0.923,1.0,1.0,1.0,110,0.923,0.0,MIL,[],[]
MIL202305090,LAN,8,0,0,thomt002,outmj002,vargm001,,8/F78XD.2-3;1-2,,,MIL,2023,110,False,0,0.923,8.0,0.0,1.0,011,1.409,0.486,LAN,"[2, 1]","[1, 1]"
MIL202305100,LAN,6,0,1,freef001,barna001,perad001,,7/F7D,,,MIL,2023,110,False,0,0.443,6.0,0.0,2.0,110,0.443,0.0,LAN,[],[]
MIL202305130,KCA,1,0,1,melem001,peres002,,wittb002,7/SF/F78D.3-H,,,MIL,2023,101,True,1,0.498,1.0,0.0,2.0,100,1.227,0.7290000000000001,KCA,[3],[1]
MIL202305130,KCA,9,1,1,wiemj001,,millo002,andeb006,8/SF/F8D.3-H,,,MIL,2023,011,True,1,0.59,1.0,0.0,0.0,000,1.0,0.41000000000000003,MIL,[3],[1]
MIL202305220,HOU,8,0,0,mccoc001,alvay001,brega001,,8/F89D,,tuckk001,MIL,2023,110,False,0,0.923,8.0,0.0,1.0,110,0.923,0.0,HOU,[],[]
